,Unnamed: 0,Smartphone_name,Price
0,0,"POCO C31 (Royal Blue, 64 GB)",
1,1,"realme Narzo 30 5G (Racing Blue, 128 GB)",6
2,2,"Infinix HOT 12 Play (Daylight Green, 64 GB)",8
3,3,"realme Narzo 50A (Oxygen Blue, 64 GB)",64
4,4,"realme C20 (Cool Grey, 32 GB)","7,4"
5,5,"realme C20 (Cool Blue, 32 GB)","7,4"
6,6,"realme Narzo 50A (Oxygen Green, 64 GB)",64
7,7,"realme Narzo 30 5G (Racing Silver, 128 GB)",6
8,8,"realme 9i (Prism Blue, 128 GB)","6,04"
9,9,"realme 9i (Prism Blue, 64 GB)",54
10,10,"realme 9i (Prism Black, 64 GB)",54
11,11,"realme C35 (Glowing Green, 64 GB)",
12,12,"realme Narzo 50A (Oxygen Green, 128 GB)","2,6"
13,13,"POCO M4 Pro 5G (Cool Blue, 64 GB)",2
14,14,"POCO C31 (Shadow Gray, 64 GB)",
15,15,"POCO C31 (Royal Blue, 32 GB)",8
16,16,"REDMI 9i Sport (Coral Green, 64 GB)","8,7"
17,17,"REDMI Note 10T 5G (Metallic Blue, 64 GB)",
18,18,"realme 9i (Prism Black, 128 GB)","5,04"
19,19,"realme 9i (Prism Black, 128 GB)","6,04"
20,20,"REDMI 10 (Pacific Blue, 64 GB)",4
21,21,"Infinix HOT 12 Play (Horizon Blue, 64 GB)",8
22,22,"Infinix HOT 12 Play (Racing Black, 64 GB)",8
23,23,"REDMI 9i Sport (Metallic Blue, 64 GB)","8,7"
